prompt_id,arm,subject_id,color_variant,prompt_tag,prompt_sha1,prompt_text
P0_empty,A,empty,none,empty_string,da39a3ee5e,
B1_free,B,B1_dwarf,free,dwarf_amber_free,cc43624c75,"Western comics style, bold ink outlines, hatched shadows, upper body portrait. A dwarf woman with twin braided ginger pigtails, freckled cheeks, brass goggles resting on her forehead, wearing heavy leather smithing aprons and riveted gauntlets, confident warm smile, direct eye contact. Simple background."
B1_fixed,B,B1_dwarf,fixed,dwarf_amber_fixed,3ca8ef5830,"Western comics style, bold ink outlines, hatched shadows, hard amber-tinted rim light glowing along the edges of her face, upper body portrait. A dwarf woman with twin braided ginger pigtails, freckled cheeks, brass goggles resting on her forehead, wearing heavy leather smithing aprons and riveted gauntlets, confident warm smile, direct eye contact. Simple background, amber overall hue, monochromatic amber."
B2_free,B,B2_elf,free,elf_teal_free,97baa02678,"Western comics style, bold ink outlines, hatched shadows, upper body portrait. A tall dark elf scholar with sleek white hair pulled back, arched eyebrows, narrow intense eyes, wearing a high-collared scholar robe embroidered with silver runes, holding an open leather-bound grimoire, sharp thoughtful expression. Simple background."
B2_fixed,B,B2_elf,fixed,elf_teal_fixed,c9b4b41489,"Western comics style, bold ink outlines, hatched shadows, hard teal-tinted rim light glowing along the edges of his face, upper body portrait. A tall dark elf scholar with sleek white hair pulled back, arched eyebrows, narrow intense eyes, wearing a high-collared scholar robe embroidered with silver runes, holding an open leather-bound grimoire, sharp thoughtful expression. Simple background, teal overall hue, monochromatic teal."
B3_free,B,B3_cyborg,free,cyborg_crimson_free,d01529e1d1,"Western comics style, bold ink outlines, hatched shadows, upper body portrait. A cybernetic human warrior with short buzzcut hair, segmented chrome jawline, glowing optic sensor implant over one eye, clad in ballistic carbon armor with exposed hydraulics, stoic grim gaze. Simple background."
B3_fixed,B,B3_cyborg,fixed,cyborg_crimson_fixed,1a77f2e506,"Western comics style, bold ink outlines, hatched shadows, hard crimson-tinted rim light glowing along the edges of his face, upper body portrait. A cybernetic human warrior with short buzzcut hair, segmented chrome jawline, glowing optic sensor implant over one eye, clad in ballistic carbon armor with exposed hydraulics, stoic grim gaze. Simple background, crimson overall hue, monochromatic crimson."
B4_free,B,B4_genasi,free,genasi_ultramarine_free,4671cedb95,"Western comics style, bold ink outlines, hatched shadows, upper body portrait. A water genasi priestess with wavy translucent blue hair floating softly, smooth azure skin, droplet pearls dangling from her earlobes, draped in seafoam silk garments, serene contemplative expression. Simple background."
B4_fixed,B,B4_genasi,fixed,genasi_ultramarine_fixed,0d2e3ec37c,"Western comics style, bold ink outlines, hatched shadows, hard ultramarine-tinted rim light glowing along the edges of her face, upper body portrait. A water genasi priestess with wavy translucent blue hair floating softly, smooth azure skin, droplet pearls dangling from her earlobes, draped in seafoam silk garments, serene contemplative expression. Simple background, ultramarine overall hue, monochromatic ultramarine."
I06,C,I06,stage7_baseline,a_human_man_with_cropped_brown_hair_and_stubble,a324a148e4,"Western comics style, bold ink outlines, hatched shadows, upper body portrait. A human man with cropped brown hair and stubble. armor made of steel, He wears a chainmail coif and round polished shoulder guards. He's holding a tower shield across his chest, guarding pose, weary, resolute. ruined castle courtyard, simple background. white reflection on the metal."
I07,C,I07,stage7_baseline,a_half_orc_man_with_a_shaved_head_and_facial_scars,402376662d,"Western comics style, bold ink outlines, hatched shadows, upper body portrait. A half-orc man with a shaved head and facial scars. armor made of granite, He wears an iron jaw visor and layered stone shoulder pads. He's holding a heavy greataxe pointed down, relaxed pose, solemn, tired. cracked dry earth, simple background. blue reflection on the stone."
I20,C,I20,stage7_baseline,a_drow_man_with_swept_back_silver_hair,952efcc3c6,"Western comics style, bold ink outlines, hatched shadows, upper body portrait. A drow man with swept-back silver hair. armor made of dark adamantine, He wears a spider-web cowl and sharp chitinous shoulder guards. He's holding dual twin daggers drawn, predatory pose, mocking, sinister. subterranean purple cavern, simple background. magenta reflection on the adamantine."
I24,C,I24,stage7_baseline,a_construct_man_with_blank_brass_faceplate,66faaa372d,"Western comics style, bold ink outlines, hatched shadows, upper body portrait. A construct man with blank brass faceplate. armor made of solid gold, He wears a bolted iron halo and enormous heavy cube shoulder pads. He's holding a massive flat-headed maul rested on ground, static pose, unfeeling, neutral. tiled temple floor, simple background. orange reflection on the gold."
