run_idx,prompt_id,prompt_text,seed,condition,node_type,angle,d_target,prefix,expected_file
210,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,Block_3_pos,rotator,25.24,0.045,rotations_block1_vs_block6/S01_oil_s42_Block_3_pos,S01_oil_s42_Block_3_pos_00001_.png
211,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,Block_3_neg,rotator,-25.24,0.045,rotations_block1_vs_block6/S01_oil_s42_Block_3_neg,S01_oil_s42_Block_3_neg_00001_.png
212,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,scramble_C,scramble,25.24,0.045,rotations_block1_vs_block6/S01_oil_s42_scramble_C,S01_oil_s42_scramble_C_00001_.png
213,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,scramble_D,scramble,25.24,0.045,rotations_block1_vs_block6/S01_oil_s42_scramble_D,S01_oil_s42_scramble_D_00001_.png
214,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,Block_3_pos,rotator,25.24,0.045,rotations_block1_vs_block6/S01_oil_s1337_Block_3_pos,S01_oil_s1337_Block_3_pos_00001_.png
215,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,Block_3_neg,rotator,-25.24,0.045,rotations_block1_vs_block6/S01_oil_s1337_Block_3_neg,S01_oil_s1337_Block_3_neg_00001_.png
216,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,scramble_C,scramble,25.24,0.045,rotations_block1_vs_block6/S01_oil_s1337_scramble_C,S01_oil_s1337_scramble_C_00001_.png
217,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,scramble_D,scramble,25.24,0.045,rotations_block1_vs_block6/S01_oil_s1337_scramble_D,S01_oil_s1337_scramble_D_00001_.png
218,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",4242145,Block_3_pos,rotator,25.24,0.045,rotations_block1_vs_block6/S01_oil_s4242145_Block_3_pos,S01_oil_s4242145_Block_3_pos_00001_.png
219,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",4242145,Block_3_neg,rotator,-25.24,0.045,rotations_block1_vs_block6/S01_oil_s4242145_Block_3_neg,S01_oil_s4242145_Block_3_neg_00001_.png
