check,subject,comparison,n,value,unit,criterion,verdict,note
determinism_across_sessions,P01 seed 42,"benchmark_determinismo vs benchmark_mappa, across a ComfyUI restart",1,0,max channel difference (0-255),== 0,PASS,every measurement that pairs these two benches rests on this
sentinel_zero,15 cells across 3 prompts,"tuner present with every gain at zero, vs baseline at the same seed",15,0,max channel difference (0-255),== 0,PASS,bit-exact identity: the node itself adds nothing (pitfall 54)
sentinel_roundtrip,15 cells across 3 prompts,"an edit and its exact inverse, weights back at D = 0, vs baseline",15,15.98,mean channel difference (0-255),> 0 — the image does NOT return,PASS,the weights are restored exactly and the image is not: a floor stricter than the seed floor
arm_clipLULT,"P01 seed 42, doses 0.005, 0.020, 0.050, 0.120, 0.200",text-encoder arm vs the untouched baseline,5,0.0,RMS difference (0-255),== 0 at every dose,PASS,"declared a dead arm, not a weak one"
arm_clipL1,"P01 seed 42, doses 0.005, 0.020, 0.050, 0.120, 0.200",text-encoder arm vs the untouched baseline,5,23.5 -> 27.5 -> 26.1 -> 33.1 -> 34.0,RMS difference (0-255),> 0 at every dose,PASS,"the positive control: without it, 'exactly zero' would mean nothing"
arm_clipL1_monotonicity,"P01 seed 42, 5 doses",does the live arm rise monotonically with dose,5,23.5 -> 27.5 -> 26.1 -> 33.1 -> 34.0,RMS difference (0-255),each dose >= the one below it,FAIL,the endpoints do rise (23.5 -> 34.0) but the middle does not; earlier write-ups quoted the two ends and called it monotone
noise_floor,P01,relative sigma of fine texture across independent baseline seeds,18,1.65,% of the mean,"measured on >= 18 seeds, on the corpus that will use it, before it calibrates any threshold (pitfall 62)",PASS,"estimated at 1.15% on 3 seeds, then over-corrected to 5.2% by borrowing another prompt's figure, then measured here"
noise_floor,P02,relative sigma of fine texture across independent baseline seeds,18,1.83,% of the mean,"measured on >= 18 seeds, on the corpus that will use it, before it calibrates any threshold (pitfall 62)",PASS,"estimated at 1.15% on 3 seeds, then over-corrected to 5.2% by borrowing another prompt's figure, then measured here"
decorrelation_ceiling,P01,pixel correlation between two baselines at DIFFERENT seeds,153,0.495,correlation,"reported, never used as a noise floor (pitfall 55)",MEASURED,a seed change is a maximal perturbation; at a fixed seed the null is zero
decorrelation_ceiling,P02,pixel correlation between two baselines at DIFFERENT seeds,153,0.497,correlation,"reported, never used as a noise floor (pitfall 55)",MEASURED,a seed change is a maximal perturbation; at a fixed seed the null is zero
usable_regime,"single blocks at +0.200, 2 prompts",pixel correlation with their OWN baseline at the same seed,56,0.664  (range 0.493-0.789),correlation,must stay well above the decorrelation ceiling for a direction measure in this space to carry information,MEASURED,the ceiling is the seed-change correlation measured in the row above
