path,kind,error
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_combat_robot\rotations\Block_6_rotX_+30.0_00001_.png,palette,"RuntimeError('Block_6_rotX_+30.0_00001_.png: maschera del soggetto al 0.1%, sotto la soglia del 5%. La stima della carta ha probabilmente inghiottito il soggetto: va guardata, non aggirata.')"
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_elf_brawler\rotations\Block_6_rotX_+30.0_00001_.png,palette,"RuntimeError('Block_6_rotX_+30.0_00001_.png: maschera del soggetto al 4.0%, sotto la soglia del 5%. La stima della carta ha probabilmente inghiottito il soggetto: va guardata, non aggirata.')"
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_flag\rotations\Block_6_rotX_+30.0_00001_.png,palette,"RuntimeError('Block_6_rotX_+30.0_00001_.png: maschera del soggetto al 0.0%, sotto la soglia del 5%. La stima della carta ha probabilmente inghiottito il soggetto: va guardata, non aggirata.')"
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_preraphaelite_altar\rotations\Block_6_rotX_+30.0_00001_.png,palette,"RuntimeError('Block_6_rotX_+30.0_00001_.png: maschera del soggetto al 0.1%, sotto la soglia del 5%. La stima della carta ha probabilmente inghiottito il soggetto: va guardata, non aggirata.')"
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_tiefling\rotations\Block_6_rotX_+30.0_00001_.png,palette,"RuntimeError('Block_6_rotX_+30.0_00001_.png: maschera del soggetto al 0.2%, sotto la soglia del 5%. La stima della carta ha probabilmente inghiottito il soggetto: va guardata, non aggirata.')"
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_tiefling\rotations\Block_6_rotX_-30.0_00001_.png,palette,"RuntimeError('Block_6_rotX_-30.0_00001_.png: maschera del soggetto al 0.3%, sotto la soglia del 5%. La stima della carta ha probabilmente inghiottito il soggetto: va guardata, non aggirata.')"
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_tiefling_seed1337\rotations\Block_6_rotX_+30.0_00001_.png,palette,"RuntimeError('Block_6_rotX_+30.0_00001_.png: maschera del soggetto al 0.0%, sotto la soglia del 5%. La stima della carta ha probabilmente inghiottito il soggetto: va guardata, non aggirata.')"
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_tiefling_seed1337\rotations\Block_6_rotX_-30.0_00001_.png,palette,"RuntimeError('Block_6_rotX_-30.0_00001_.png: maschera del soggetto al 0.7%, sotto la soglia del 5%. La stima della carta ha probabilmente inghiottito il soggetto: va guardata, non aggirata.')"
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_tiefling_seed42\rotations\Block_6_rotX_+30.0_00001_.png,palette,"RuntimeError('Block_6_rotX_+30.0_00001_.png: maschera del soggetto al 0.2%, sotto la soglia del 5%. La stima della carta ha probabilmente inghiottito il soggetto: va guardata, non aggirata.')"
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_tiefling_seed42\rotations\Block_6_rotX_-30.0_00001_.png,palette,"RuntimeError('Block_6_rotX_-30.0_00001_.png: maschera del soggetto al 2.5%, sotto la soglia del 5%. La stima della carta ha probabilmente inghiottito il soggetto: va guardata, non aggirata.')"
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_troll_shaman\rotations\Block_6_rotX_+30.0_00001_.png,palette,"RuntimeError('Block_6_rotX_+30.0_00001_.png: maschera del soggetto al 0.7%, sotto la soglia del 5%. La stima della carta ha probabilmente inghiottito il soggetto: va guardata, non aggirata.')"
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S02_linocut_s1337_Block_6_pos_00001_.png,palette,"RuntimeError('S02_linocut_s1337_Block_6_pos_00001_.png: maschera del soggetto al 2.2%, sotto la soglia del 5%. La stima della carta ha probabilmente inghiottito il soggetto: va guardata, non aggirata.')"
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S03_cyberpunk_s1337_Block_6_pos_00001_.png,palette,"RuntimeError('S03_cyberpunk_s1337_Block_6_pos_00001_.png: maschera del soggetto al 2.8%, sotto la soglia del 5%. La stima della carta ha probabilmente inghiottito il soggetto: va guardata, non aggirata.')"
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S04_gouache_s1337_Block_6_pos_00001_.png,palette,"RuntimeError('S04_gouache_s1337_Block_6_pos_00001_.png: maschera del soggetto al 2.7%, sotto la soglia del 5%. La stima della carta ha probabilmente inghiottito il soggetto: va guardata, non aggirata.')"
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S04_gouache_s4242145_Block_6_pos_00001_.png,palette,"RuntimeError('S04_gouache_s4242145_Block_6_pos_00001_.png: maschera del soggetto al 2.2%, sotto la soglia del 5%. La stima della carta ha probabilmente inghiottito il soggetto: va guardata, non aggirata.')"
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S06_pastel_s1337_Block_6_pos_00001_.png,palette,"RuntimeError('S06_pastel_s1337_Block_6_pos_00001_.png: maschera del soggetto al 3.0%, sotto la soglia del 5%. La stima della carta ha probabilmente inghiottito il soggetto: va guardata, non aggirata.')"
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S06_pastel_s4242145_Block_6_pos_00001_.png,palette,"RuntimeError('S06_pastel_s4242145_Block_6_pos_00001_.png: maschera del soggetto al 0.0%, sotto la soglia del 5%. La stima della carta ha probabilmente inghiottito il soggetto: va guardata, non aggirata.')"
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S07_comic_s4242145_Block_6_pos_00001_.png,palette,"RuntimeError('S07_comic_s4242145_Block_6_pos_00001_.png: maschera del soggetto al 0.1%, sotto la soglia del 5%. La stima della carta ha probabilmente inghiottito il soggetto: va guardata, non aggirata.')"
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S08_papercraft_s1337_Block_6_pos_00001_.png,palette,"RuntimeError('S08_papercraft_s1337_Block_6_pos_00001_.png: maschera del soggetto al 2.4%, sotto la soglia del 5%. La stima della carta ha probabilmente inghiottito il soggetto: va guardata, non aggirata.')"
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S09_fresco_s1337_Block_6_neg_00001_.png,palette,"RuntimeError('S09_fresco_s1337_Block_6_neg_00001_.png: maschera del soggetto al 4.5%, sotto la soglia del 5%. La stima della carta ha probabilmente inghiottito il soggetto: va guardata, non aggirata.')"
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S09_fresco_s4242145_Block_6_pos_00001_.png,palette,"RuntimeError('S09_fresco_s4242145_Block_6_pos_00001_.png: maschera del soggetto al 0.2%, sotto la soglia del 5%. La stima della carta ha probabilmente inghiottito il soggetto: va guardata, non aggirata.')"
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S10_synthwave_s1337_Block_6_pos_00001_.png,palette,"RuntimeError('S10_synthwave_s1337_Block_6_pos_00001_.png: maschera del soggetto al 2.6%, sotto la soglia del 5%. La stima della carta ha probabilmente inghiottito il soggetto: va guardata, non aggirata.')"
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S10_synthwave_s4242145_Block_6_pos_00001_.png,palette,"RuntimeError('S10_synthwave_s4242145_Block_6_pos_00001_.png: maschera del soggetto al 0.0%, sotto la soglia del 5%. La stima della carta ha probabilmente inghiottito il soggetto: va guardata, non aggirata.')"
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S10_synthwave_s42_Block_6_pos_00001_.png,palette,"RuntimeError('S10_synthwave_s42_Block_6_pos_00001_.png: maschera del soggetto al 1.7%, sotto la soglia del 5%. La stima della carta ha probabilmente inghiottito il soggetto: va guardata, non aggirata.')"
