run_idx,prompt_id,prompt_text,seed,condition,node_type,angle,d_target,prefix,expected_file
0,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,baseline,rotator,0.0,0.0,rotations_block1_vs_block6/S01_oil_s42_baseline,S01_oil_s42_baseline_00001_.png
1,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,Block_1_pos,rotator,23.69,0.045,rotations_block1_vs_block6/S01_oil_s42_Block_1_pos,S01_oil_s42_Block_1_pos_00001_.png
2,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,Block_1_neg,rotator,-23.69,0.045,rotations_block1_vs_block6/S01_oil_s42_Block_1_neg,S01_oil_s42_Block_1_neg_00001_.png
3,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,Block_6_pos,rotator,32.21,0.045,rotations_block1_vs_block6/S01_oil_s42_Block_6_pos,S01_oil_s42_Block_6_pos_00001_.png
4,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,Block_6_neg,rotator,-32.21,0.045,rotations_block1_vs_block6/S01_oil_s42_Block_6_neg,S01_oil_s42_Block_6_neg_00001_.png
5,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,scramble_A,scramble,23.69,0.045,rotations_block1_vs_block6/S01_oil_s42_scramble_A,S01_oil_s42_scramble_A_00001_.png
6,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,scramble_B,scramble,23.69,0.045,rotations_block1_vs_block6/S01_oil_s42_scramble_B,S01_oil_s42_scramble_B_00001_.png
7,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,baseline,rotator,0.0,0.0,rotations_block1_vs_block6/S01_oil_s1337_baseline,S01_oil_s1337_baseline_00001_.png
8,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,Block_1_pos,rotator,23.69,0.045,rotations_block1_vs_block6/S01_oil_s1337_Block_1_pos,S01_oil_s1337_Block_1_pos_00001_.png
9,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,Block_1_neg,rotator,-23.69,0.045,rotations_block1_vs_block6/S01_oil_s1337_Block_1_neg,S01_oil_s1337_Block_1_neg_00001_.png
10,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,Block_6_pos,rotator,32.21,0.045,rotations_block1_vs_block6/S01_oil_s1337_Block_6_pos,S01_oil_s1337_Block_6_pos_00001_.png
11,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,Block_6_neg,rotator,-32.21,0.045,rotations_block1_vs_block6/S01_oil_s1337_Block_6_neg,S01_oil_s1337_Block_6_neg_00001_.png
12,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,scramble_A,scramble,23.69,0.045,rotations_block1_vs_block6/S01_oil_s1337_scramble_A,S01_oil_s1337_scramble_A_00001_.png
